Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Return_ID,Original_Tx_ID,Return_Date,Refund_Amount,Status,Tx_ID_extracted,Problem_Category,Sentiment
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,101131,Naudas atgriešanas pieprasījums,Negatīvs
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,101131,Baterijas problēma (Smart Home),Kritiski Negatīvs
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,101131,Bloķēšanas/Drošības kļūme,Negatīvs
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,101131,Baterijas problēma (Smart Home),Negatīvs
100391,2023-11-28,C0001,Smart Home,NordTherm,101.68,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100105,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100603,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100563,2023-12-03,C0008,Electronics,Smartphone Z,855.14,1,Paid,R000001,100563,2023-12-15,855.14,Processed,,Nav sūdzību,Neitrāls / Nav ziņots
100366,2023-11-28,C0004,Electronics,Smartphone Z,1024.64,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100043,2023-11-16,C0002,Electronics,TV Pro,1164.3,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100725,2023-12-06,C0003,Accessories,Laptop Sleeve,27.13,2,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100456,2023-11-30,C0001,Smart Home,NordTherm,105.45,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,290.46,1,Paid,,,,,,100537,Piegādes / Loģistikas aizkavēšanās,Negatīvs
101176,2023-11-24,C0017,Accessories,Phone Case,34.84,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101058,2023-12-13,C0001,Electronics,Laptop X,1504.82,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100032,2023-11-16,C0094,Electronics,Laptop X,1585.05,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100455,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,,,,,,100455,Baterijas problēma (Smart Home),Negatīvs
100455,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,,,,,,100455,Lietotnes / Savienojuma problēma,Negatīvs
100455,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,,,,,,100455,Baterijas problēma (Smart Home),Negatīvs
100354,2023-11-28,C0002,Smart Home,NordLock Pro,201.09,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101181,2023-08-12,C0006,Accessories,Accessory Bundle,27.11,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100062,2023-11-17,C0001,Smart Home,NordLock Pro,221.97,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100858,2023-09-12,C0001,Electronics,TV Pro,1060.25,1,Failed,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101049,2023-12-13,C0001,Electronics,NoiseCancel Headphones,288.0,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100686,2023-12-05,C0059,Electronics,Tablet A,753.9,1,Paid,,,,,,100686,Baterijas problēma (Smart Home),Negatīvs
100686,2023-12-05,C0059,Electronics,Tablet A,753.9,1,Paid,,,,,,100686,Baterijas problēma (Smart Home),Kritiski Negatīvs
100233,2023-11-24,C0278,Electronics,TV Pro,1041.16,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100094,2023-11-18,C0076,Accessories,Charger,28.32,3,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100215,2023-11-23,C0063,Electronics,Smartphone Z,1077.99,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100310,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100202,2023-11-23,C0002,Smart Home,NordLock Pro,186.48,1,Pending,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100290,2023-11-25,C0002,Accessories,Phone Case,12.32,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100737,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100318,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101141,2023-01-12,C0038,Accessories,Accessory Bundle,55.24,3,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100891,2023-12-09,C0008,Smart Home,NordLock Pro,212.31,2,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
101188,2023-12-10,C0062,Accessories,Wireless Mouse,32.09,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100096,2023-11-18,C0001,Electronics,NoiseCancel Headphones,166.52,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100880,2023-12-09,C0001,Smart Home,NordLock Pro,231.5,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100070,2023-11-17,C0124,Accessories,Accessory Bundle,86.79,1,Paid,,,,,,100070,Naudas atgriešanas pieprasījums,Kritiski Negatīvs
100797,2023-07-12,C0097,Electronics,Tablet A,583.65,1,Paid,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
100721,2023-12-06,C0085,Smart Home,NordLock Pro,200.26,1,Paid,,,,,,100721,Lietotnes / Savienojuma problēma,Kritiski Negatīvs
100721,2023-12-06,C0085,Smart Home,NordLock Pro,200.26,1,Paid,,,,,,100721,Bloķēšanas/Drošības kļūme,Negatīvs
100796,2023-12-07,C0145,Accessories,Wireless Mouse,43.57,1,Paid,,,,,,100796,Piegādes / Loģistikas aizkavēšanās,Negatīvs
100796,2023-12-07,C0145,Accessories,Wireless Mouse,43.57,1,Paid,,,,,,100796,Lietotnes / Savienojuma problēma,Negatīvs
100796,2023-12-07,C0145,Accessories,Wireless Mouse,43.57,1,Paid,,,,,,100796,Piegādes / Loģistikas aizkavēšanās,Negatīvs
100353,2023-11-28,C0010,Electronics,NoiseCancel Headphones,297.95,1,Failed,,,,,,,Nav sūdzību,Neitrāls / Nav ziņots
